sample_no,date,time,Nh4_mgNL,PO4_ugL,ysi_SPC,notes
NA_1,2022-04-07,11:45:55,0.0092,13.6,428,Reach length: 70m
NA_2,2022-04-07,11:48:50,0.014,16.514,428,"HOR HOBO: 20775520, BOR HOBO: 20775523"
NA_3,2022-04-07,11:51:05,0.1938,NA,455,"704.6 g NaCl, 189.2 g NH4Cl, 2.5 gallons water"
NA_4,2022-04-07,11:51:30,2.0912,NA,495,"Injection start: 11:45:45, injection end 11:48:00"
NA_5,2022-04-07,11:52:05,3.9402,NA,549,* wrong launch time for BOR hobo
NA_6,2022-04-07,11:52:25,4.0407,NA,580,
NA_7,2022-04-07,11:53:00,3.8623,NA,597,
NA_8,2022-04-07,11:53:15,3.9359,NA,594,
NA_9,2022-04-07,11:53:30,3.1593,NA,580,
NA_10,2022-04-07,11:54:00,2.7124,NA,549,
NA_11,2022-04-07,11:54:30,2.0656,15.675,530,
NA_12,2022-04-07,11:55:00,1.4903,12.643,500,
NA_13,2022-04-07,11:55:45,0.8804,15.531,474,
NA_14,2022-04-07,11:56:30,0.5377,NA,460,
NA_15,2022-04-07,11:57:30,0.2881,NA,444,
NA_16,2022-04-07,11:59:00,0.1033,NA,436,
NA_17,2022-04-07,12:03:00,0.0436,13.249,429,
NA_18,2022-04-07,12:08:00,0.0212,14.203,428,
HOR_1,2022-04-07,11:44:00,0.0126,12.797,NA,Sample time in green notebook 
HOR_2,2022-04-07,12:02:00,0.0124,10.659,NA,
blank,2022-04-07,11:00:00,0.0229,2.38,NA,
